time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disloc_density_m,disp_x,disp_y,disp_z,fp_yy,mesh_quality,mesh_quality_m,sliprate,sliprate_m,strain_eff,strain_shear,strain_shear_m,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,total_twin_volume
47.024999999999,1548021374.89,1474013683.0616,1433346217.3681,662297704.9064,584429816.39498,541987087.35168,0.083977448292488,0.038724986678459,-0.065754767911084,254875560.97084,256000002.76127,0.00056132614651011,0.00070537499999999,0.00067214334875257,1.4350034021892,1.4079927238071e-12,6.4382017769649e-19,0.016995146168938,0.092939800247022,0.45544696011252,0.30171511182104,0.92097130484074,0.35339150123694,492.98918927019,-12.616402674215,0.00015476917503374,-0.0077877584357878,402.61488356758,0.072533502542366,-12.619089819178,5.2153568998688e-09
47.074999999999,1547831628.7721,1473973819.1998,1433163232.0803,662107958.78858,584389952.53315,541804102.06386,0.083977448292488,0.038724986678459,-0.065754767911084,254875695.39158,256000002.75123,0.00056166750442893,0.00070612499999999,0.00067247172014762,1.4354457125794,1.4079927238071e-12,6.4382017769649e-19,0.016981521914808,0.092841343957451,0.45577101449085,0.30191812063413,0.92176661125775,0.35364526229073,492.9450909955,-12.63338312293,-0.00013862032422004,-0.0076420233769399,402.54833826963,0.043764954222504,-12.636790117684,5.2157961640786e-09
47.124999999999,1547642222.3196,1473934024.7998,1432980689.5043,661918552.33609,584350158.13315,541621559.48782,0.083977448292488,0.038724986678459,-0.065754767911084,254875829.56617,256000002.74128,0.00056200931463941,0.00070687499999999,0.00067279871219781,1.4358883164298,1.4079927238071e-12,6.4382017769649e-19,0.016964674749413,0.092390776818787,0.45609470312703,0.3021208830242,0.92256201754022,0.35389863007445,492.84574623691,-12.653044253575,-0.00043517408745755,-0.0074968366655342,402.41675772073,0.043241836034113,-12.656319379188,5.2162347417773e-09
47.174999999999,1547453316.281,1473894400.149,1432798565.7396,661729646.29742,584310533.48239,541439435.72315,0.083977448292488,0.038724986678459,-0.065754767911084,254875962.74323,256000002.7314,0.0005623490148022,0.00070762499999999,0.00067311823990329,1.436330933894,1.4079927238071e-12,6.4382017769649e-19,0.016963355209907,0.092520859182512,0.45641808188296,0.30232344046445,0.92336179304179,0.35415176072759,492.74005991617,-12.670247896846,-0.00024642500997995,-0.0075693587524217,402.28095236616,0.068971773939826,-12.674095985643,5.2166731312873e-09
47.224999999999,1547264623.5131,1473854966.3791,1432616999.9815,661540953.52951,584271099.7124,541257869.96507,0.083977448292488,0.038724986678459,-0.065754767911084,254876094.86171,256000002.72153,0.00056269068647566,0.00070837499999999,0.00067344257486911,1.4367732381918,1.4079927238071e-12,6.4382017769649e-19,0.016951690592049,0.093037148913473,0.45674138063018,0.30252595038485,0.92415469327539,0.35440487530549,492.69175681808,-12.689033013293,3.2328465590325e-05,-0.0079356472276671,402.20893771761,0.049639829092627,-12.691215417936,5.2171083595683e-09
47.274999999999,1547076371.4901,1473815577.3708,1432435804.8469,661352701.50656,584231710.70415,541076674.83045,0.083977448292488,0.038724986678459,-0.065754767911084,254876226.66999,256000002.71174,0.00056302931496953,0.00070912499999999,0.00067377181320159,1.4372156664316,1.4079927238071e-12,6.4382017769649e-19,0.016932262858982,0.092428839162924,0.45706437568706,0.30272825698749,0.92494618291758,0.3546577233065,492.6217972574,-12.70673618918,0.00041922503413313,-0.0067301585020525,402.11045146637,0.024747397668105,-12.711355268142,5.2175419237869e-09
47.324999999999,1546888320.4709,1473776296.1377,1432254992.6402,661164650.48738,584192429.47102,540895862.6237,0.083977448292488,0.038724986678459,-0.065754767911084,254876357.92138,256000002.70206,0.00056336626407706,0.00070987499999999,0.00067408799580667,1.4376582708959,1.4079927238071e-12,6.4382017769649e-19,0.01692625467497,0.092384395383823,0.45738701626409,0.30293033091927,0.92574338085948,0.35491022693563,492.5131579719,-12.724452294767,0.0035810963921759,-0.0076136684266428,401.97150535725,0.064598272734869,-12.727941060204,5.2179762426625e-09
47.374999999999,1546700582.5895,1473737229.7136,1432074642.3297,660976912.60596,584153363.04696,540715512.31328,0.083977448292488,0.038724986678459,-0.065754767911084,254876488.03259,256000002.69235,0.00056370612427865,0.00071062499999999,0.00067441406600355,1.4381005938565,1.4079927238071e-12,6.4382017769649e-19,0.016919730091512,0.09303818915667,0.45770955345079,0.30313233783811,0.92653327715933,0.35516271118452,492.45920905964,-12.742957546868,-5.4007441287805e-05,-0.0072494235577002,401.89206232538,0.033725922156154,-12.746784830702,5.218407015143e-09
47.424999999999,1546513183.0977,1473698202.8782,1431894639.8722,660789513.11412,584114336.21152,540535509.85577,0.083977448292488,0.038724986678459,-0.065754767911084,254876617.80112,256000002.68275,0.00056404422911522,0.00071137499999999,0.00067473130032191,1.4385431303907,1.4079927238071e-12,6.4382017769649e-19,0.016901238363662,0.092368607838269,0.45803173836683,0.30333411392475,0.92732712935725,0.35541483701834,492.36114387517,-12.761883363364,0.0025092309203234,-0.007520225220138,401.76334871215,0.061568578870321,-12.764540361079,5.21883800271e-09
47.474999999999,1546326209.8837,1473659331.6083,1431715065.0482,660602539.90013,584075464.94169,540355935.03175,0.083977448292488,0.038724986678459,-0.065754767911084,254876746.56117,256000002.67315,0.00056438109537584,0.00071212499999999,0.00067505808244271,1.4389855326232,1.4079927238071e-12,6.4382017769649e-19,0.016896752131,0.09280292688834,0.45835371888453,0.30353575338142,0.92811645207474,0.35566685676997,492.29203957076,-12.778965516964,0.00050114659416126,-0.0059145603323521,401.66554571935,0.027254033432001,-12.785562606335,5.2192662938582e-09
47.499999999999,1546237851.552,1473640632.0761,1431629727.0834,660514181.56842,584056765.40948,540270597.06697,0.083977448292488,0.038724986678459,-0.065754767911084,254876810.15309,256000002.66842,0.00056454886489753,0.00071249999999999,0.00067521466135568,1.4392068624187,1.4079927238071e-12,6.4382017769649e-19,0.016882351056542,0.092472348301956,0.45851459686603,0.30363649843082,0.92851304320197,0.35579271977972,492.23189367007,-12.788384978113,0.0032899388236306,-0.0069711188031116,401.59061748299,0.060764282724796,-12.793080825566,5.219480905361e-09
